"Part";"Value";"Device";"Package";"Description";"AVAILABILITY";"DESCRIPTION";"MF";"MP";"MPN";"OC_FARNELL";"OC_NEWARK";"PACKAGE";"POPULARITY";"PRICE";"PROD_ID";"SF_SKU";"SPICEPREFIX";"TP_SIGNAL_NAME";
"BAT";"";"JST_2PIN-SMT";"JST-PH-2-SMT";"JST 2-Pin Connectors of various flavors";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C1";"1uF";"C-USC0402";"C0402";"CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C2";"220nf";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"C3";"100nF";"C-EUC0402";"C0402";"CAPACITOR, European symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D3";"100T";"DIODESMA";"SMADIODE";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D4";"100T";"DIODESOD-123";"SOD-123";"Diode";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"D5";"100T";"DIODE-SOD80C";"SOD80C";"DIODE";"";"";"";"";"";"";"";"";"9";"";"";"";"";"";
"D6";"100T";"DIODE-SOD323-R";"SOD323-R";"DIODE";"";"";"";"";"";"";"";"";"4";"";"";"";"";"";
"D7";"100T";"DIODE-MICROMELF-R";"MICROMELF-R";"DIODE";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"D8";"100T";"DIODE-SC79_INFINEON";"SC79_INFINEON";"DIODE";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"GND";"";"PINHD-1X1";"1X01";"Pin header 1x1 for 0.1" spacing";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"74AC02D";"74AC02D";"SO14";"Quad 2-input NOR gate";"";"";"";"";"";"";"";"";"0";"";"";"";"";"";
"IC2";"PIC24FJ16GA002_QFN";"PIC24FJ16GA002_QFN";"QFN28-ML_6X6MM";"PIC24FJ16GA002_QFN edit this description";"";"";"";"";"PIC24FJ16GA002-I/ML";"unknown";"40M1425";"";"";"";"";"";"";"";
"IC3";"T8C5121";"T8C5121";"SSOP24";"8-bit Microcontroller with Multiprotocol Smart Card Interface";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
"IC4";"LS7184-SOIC";"LS7184-SOIC";"SOIC08";"Encoder to Counter Interface";"";"";"";"";"";"unknown";"unknown";"";"";"";"";"";"";"";
